@relation IssueReturn_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Issue_ID {I3000,I3001,I3002,I3003,I3004,I3005,I3006,I3007,I3008,I3009,I3010,I3011,I3012,I3013,I3014,I3015,I3016,I3017,I3018,I3019,I3020,I3021,I3022,I3023,I3024,I3025,I3026,I3027,I3028,I3029,I3030,I3031,I3032,I3033,I3034,I3035,I3036,I3037,I3038,I3039,I3040,I3041,I3042,I3043,I3044,I3045,I3046,I3047,I3048,I3049,I3050,I3051,I3052,I3053,I3054,I3055,I3056,I3057,I3058,I3059,I3060,I3061,I3062,I3063,I3064,I3065,I3066,I3067,I3068,I3069,I3070,I3071,I3072,I3073,I3074,I3075,I3076,I3077,I3078,I3079,I3080,I3081,I3082,I3083,I3084,I3085,I3086,I3087,I3088,I3089,I3090,I3091,I3092,I3093,I3094,I3095,I3096,I3097,I3098,I3099,I3100,I3101,I3102,I3103,I3104,I3105,I3106,I3107,I3108,I3109,I3110,I3111,I3112,I3113,I3114,I3115,I3116,I3117,I3118,I3119,I3120,I3121,I3122,I3123,I3124,I3125,I3126,I3127,I3128,I3129,I3130,I3131,I3132,I3133,I3134,I3135,I3136,I3137,I3138,I3139,I3140,I3141,I3142,I3143,I3144,I3145,I3146,I3147,I3148,I3149,I3150,I3151,I3152,I3153,I3154,I3155,I3156,I3157,I3158,I3159,I3160,I3161,I3162,I3163,I3164,I3165,I3166,I3167,I3168,I3169,I3170,I3171,I3172,I3173,I3174,I3175,I3176,I3177,I3178,I3179,I3180,I3181,I3182,I3183,I3184,I3185,I3186,I3187,I3188,I3189,I3190,I3191,I3192,I3193,I3194,I3195,I3196,I3197,I3198,I3199}
@attribute Student_ID {S1088,S1004,S1123,S1013,S1051,S1039,S1009,S1174,S1033,S1117,S1034,S1130,S1056,S1045,S1046,S1053,S1096,S1006,S1075,S1057,S1091,S1102,S1146,S1000,S1111,S1025,S1140,S1126,S1150,S1047,S1071,S1121,S1017,S1159,S1129,S1079,S1167,S1118,S1098,S1170,S1114,S1019,S1022,S1016,S1080,S1044,S1149,S1035,S1155,S1068,S1082,S1163,S1085,S1003,S1151,S1116,S1066,S1104,S1073,S1162,S1171,S1015,S1086,S1128,S1152,S1089,S1074,S1031,S1049,S1165,S1041,S1037,S1135,S1173,S1141,S1101,S1069,S1107,S1023,S1008,S1018,S1010,S1084,S1030,S1058,S1100,S1065,S1005,S1178,S1160,S1026,S1119,S1052,S1028,S1161,S1108,S1138,S1110,S1142,S1124,S1144,S1097,S1061,S1024,S1076,S1072,S1147,S1154,S1113,S1169,S1115,S1179,S1038,S1095,S1103,S1094,S1055,S1077,S1081}
@attribute Book_ID {B2025,B2010,B2028,B2154,B2091,B2038,B2078,B2081,B2002,B2147,B2090,B2095,B2004,B2036,B2093,B2011,B2005,B2114,B2050,B2084,B2132,B2057,B2007,B2106,B2121,B2044,B2107,B2003,B2053,B2094,B2140,B2023,B2048,B2138,B2006,B2105,B2012,B2022,B2141,B2029,B2027,B2059,B2045,B2046,B2037,B2035,B2159,B2129,B2137,B2148,B2065,B2018,B2079,B2131,B2098,B2061,B2068,B2118,B2042,B2069,B2149,B2014,B2085,B2117,B2122,B2102,B2116,B2015,B2076,B2146,B2021,B2039,B2110,B2080,B2043,B2126,B2024,B2082,B2101,B2111,B2143,B2115,B2017,B2156,B2019,B2096,B2049,B2133,B2060,B2031,B2127,B2056,B2120,B2112,B2103,B2067,B2151,B2074,B2083,B2013,B2032,B2072,B2139,B2099,B2155,B2086,B2047,B2123,B2150,B2063,B2134,B2016}
@attribute Issue_Date {2025-01-29,2025-09-23,2025-06-12,2025-02-10,2025-10-18,2025-03-22,2025-08-13,2025-01-23,2025-12-17,2025-12-07,2025-09-05,2025-03-27,2025-09-08,2025-01-14,2025-11-29,2025-01-03,2025-07-10,2025-06-11,2025-08-27,2025-12-22,2025-02-19,2025-10-07,2025-04-25,2025-03-18,2025-08-30,2025-06-08,2025-01-21,2025-02-06,2025-08-29,2025-05-27,2025-05-28,2025-03-14,2025-07-05,2025-10-09,2025-12-19,2025-05-23,2025-12-02,2025-04-26,2025-11-17,2025-07-17,2025-11-19,2025-08-14,2025-02-11,2025-08-19,2025-05-12,2025-01-10,2025-12-20,2025-08-07,2025-04-06,2025-07-29,2025-03-17,2025-08-20,2025-08-05,2025-12-18,2025-07-19,2025-05-30,2025-05-21,2025-12-27,2025-03-29,2025-07-24,2025-03-15,2025-01-27,2025-06-23,2025-02-09,2025-09-16,2025-10-17,2025-06-06,2025-07-08,2025-04-03,2025-10-29,2025-09-07,2025-08-09,2025-04-22,2025-03-07,2025-06-29,2025-08-25,2025-07-01,2025-11-28,2025-10-02,2025-05-13,2025-07-02,2025-10-04,2025-09-13,2025-01-12,2025-07-21,2025-04-13,2025-04-14,2025-12-16,2025-10-27,2025-03-30,2025-07-14,2025-11-11,2025-03-24,2025-06-19,2025-05-26,2025-04-02,2025-04-27,2025-07-27,2025-09-15,2025-08-16,2025-07-18,2025-01-07,2025-03-16,2025-06-28,2025-09-14,2025-08-03,2025-07-23,2025-06-04,2025-11-30,2025-07-03,2025-10-26,2025-02-20,2025-11-01,2025-01-20,2025-12-12,2025-01-11,2025-10-21,2025-05-31,2025-04-16,2025-11-10,2025-10-05,2025-09-04,2025-01-06,2025-05-25,2025-10-08,2025-11-07,2025-06-10,2025-05-17,2025-09-06,2025-01-31,2025-02-05,2025-09-09,2025-02-02,2025-04-17,2025-06-05,2025-10-24,2025-07-16,2025-06-30,2025-02-18,2025-05-09,2025-02-22,2025-03-09,2025-09-30,2025-01-19,2025-09-01,2025-11-21,2025-08-08,2025-11-27,2025-01-26,2025-09-26,2025-10-01,2025-09-27,2025-07-09,2025-07-20}
@attribute Due_Date {2025-02-12,2025-10-07,2025-06-26,2025-02-24,2025-11-01,2025-04-05,2025-08-27,2025-02-06,2025-12-31,2025-12-21,2025-09-19,2025-04-10,2025-09-22,2025-01-28,2025-12-13,2025-01-17,2025-07-24,2025-06-25,2025-09-10,2026-01-05,2025-03-05,2025-10-21,2025-05-09,2025-04-01,2025-09-13,2025-06-22,2025-02-04,2025-02-20,2025-09-12,2025-06-10,2025-06-11,2025-03-28,2025-07-19,2025-10-23,2026-01-02,2025-06-06,2025-12-16,2025-05-10,2025-12-01,2025-07-31,2025-12-03,2025-08-28,2025-02-25,2025-09-02,2025-05-26,2025-01-24,2026-01-03,2025-08-21,2025-04-20,2025-08-12,2025-03-31,2025-09-03,2025-08-19,2026-01-01,2025-08-02,2025-06-13,2025-06-04,2026-01-10,2025-04-12,2025-08-07,2025-03-29,2025-02-10,2025-07-07,2025-02-23,2025-09-30,2025-10-31,2025-06-20,2025-07-22,2025-04-17,2025-11-12,2025-09-21,2025-08-23,2025-05-06,2025-03-21,2025-07-13,2025-09-08,2025-07-15,2025-12-12,2025-10-16,2025-05-27,2025-07-16,2025-10-18,2025-09-27,2025-01-26,2025-08-04,2025-04-27,2025-04-28,2025-12-30,2025-11-10,2025-04-13,2025-07-28,2025-11-25,2025-04-07,2025-07-03,2025-06-09,2025-04-16,2025-05-11,2025-08-10,2025-09-29,2025-08-30,2025-08-01,2025-01-21,2025-03-30,2025-07-12,2025-09-28,2025-08-17,2025-08-06,2025-06-18,2025-12-14,2025-07-17,2025-11-09,2025-03-06,2025-11-15,2025-02-03,2025-12-26,2025-01-25,2025-11-04,2025-06-14,2025-04-30,2025-11-24,2025-10-19,2025-09-18,2025-01-20,2025-06-08,2025-10-22,2025-11-21,2025-06-24,2025-05-31,2025-09-20,2025-02-14,2025-02-19,2025-09-23,2025-02-16,2025-05-01,2025-06-19,2025-11-07,2025-07-30,2025-07-14,2025-03-04,2025-05-23,2025-03-08,2025-03-23,2025-10-14,2025-02-02,2025-09-15,2025-12-05,2025-08-22,2025-12-11,2025-02-09,2025-10-10,2025-10-15,2025-10-11,2025-07-23,2025-08-03}
@attribute Return_Date {2025-02-18,2025-10-07,2025-06-22,2025-02-23,2025-10-30,2025-04-10,2025-02-09,2026-01-02,2025-04-06,2025-09-26,2025-01-24,2025-12-12,2025-07-20,2025-09-08,2026-01-08,2025-03-07,2025-10-21,2025-05-05,2025-04-05,2025-06-23,2025-02-05,2026-01-05,2025-09-13,2025-06-15,2025-06-10,2025-03-24,2025-07-23,2025-10-22,2025-10-31,2025-06-18,2025-11-27,2025-05-15,2025-07-30,2025-11-30,2025-08-27,2025-02-27,2025-12-17,2025-08-05,2025-09-01,2025-06-06,2025-12-06,2025-05-31,2025-01-20,2025-08-18,2025-04-16,2025-08-09,2025-03-27,2025-09-10,2025-08-30,2025-08-22,2025-08-07,2025-04-11,2025-08-03,2025-03-31,2025-10-23,2025-08-28,2025-02-06,2025-07-10,2025-11-04,2025-06-24,2025-07-18,2025-04-14,2025-11-09,2025-09-17,2025-04-17,2025-05-12,2025-03-21,2025-07-09,2025-09-14,2026-01-09,2025-12-08,2025-10-17,2025-05-26,2025-06-09,2025-07-13,2025-03-01,2025-09-29,2025-01-30,2025-04-25,2025-05-02,2025-12-27,2025-11-10,2025-04-09,2025-07-24,2025-11-25,2025-07-04,2025-04-18,2025-08-25,2025-08-06,2025-09-27,2025-06-02,2025-04-02,2025-07-17,2025-09-24,2025-02-22,2025-10-02,2025-04-08,2025-08-23,2025-08-10,2025-09-18,2025-12-14,2026-01-01,2025-01-31,2025-06-16,2025-05-04,2025-06-12,2025-02-03,2025-06-01,2025-04-03,2025-08-04,2025-02-19,2025-02-20,2025-09-23,2025-08-31,2025-07-26,2025-03-04,2025-03-05,2025-03-23,2025-10-20,2025-09-12,2025-06-25,2025-02-12,2025-02-08,2025-10-09,2025-08-01}
@attribute Issue_Status {Returned,'Not Returned'}
@attribute Number_of_Days_Issued numeric
@attribute Renew_Count numeric
@attribute Fine_Amount numeric
@attribute Library_Visit_Frequency numeric
@attribute Total_Library_Visits numeric
@attribute Reading_Duration_Hours numeric
@attribute Preferred_Book_Type {Electronics,Math,Science,Mechanical,Programming,Civil}
@attribute Online_Resource_Usage {No,Yes}
@attribute Late_Return_Count numeric
@attribute Librarian_ID {L400,L401,L402,L403,L404,L405,L406,L407,L408,L409,L410,L411,L412,L413,L414,L415,L416,L417,L418,L419,L420,L421,L422,L423,L424,L425,L426,L427,L428,L429,L430,L431,L432,L433,L434,L435,L436,L437,L438,L439,L440,L441,L442,L443,L444,L445,L446,L447,L448,L449,L450,L451,L452,L453,L454,L455,L456,L457,L458,L459,L460,L461,L462,L463,L464,L465,L466,L467,L468,L469,L470,L471,L472,L473,L474,L475,L476,L477,L478,L479,L480,L481,L482,L483,L484,L485,L486,L487,L488,L489,L490,L491,L492,L493,L494,L495,L496,L497,L498,L499,L500,L501,L502,L503,L504,L505,L506,L507,L508,L509,L510,L511,L512,L513,L514,L515,L516,L517,L518,L519,L520,L521,L522,L523,L524,L525,L526,L527,L528,L529,L530,L531,L532,L533,L534,L535,L536,L537,L538,L539,L540,L541,L542,L543,L544,L545,L546,L547,L548,L549,L550,L551,L552,L553,L554,L555,L556,L557,L558,L559,L560,L561,L562,L563,L564,L565,L566,L567,L568,L569,L570,L571,L572,L573,L574,L575,L576,L577,L578,L579,L580,L581,L582,L583,L584,L585,L586,L587,L588,L589,L590,L591,L592,L593,L594,L595,L596,L597,L598,L599}
@attribute Library_Shift {Morning,Evening}
@attribute Transaction_Mode {Offline,Online}
@attribute Feedback_Rating numeric

@data
I3000,S1088,B2025,2025-01-29,2025-02-12,2025-02-18,Returned,25,1,10,1,65,19,Electronics,No,4,L400,Morning,Offline,3
I3001,S1004,B2010,2025-09-23,2025-10-07,2025-10-07,Returned,28,3,20,6,49,16,Math,Yes,5,L401,Morning,Online,1
I3002,S1123,B2028,2025-06-12,2025-06-26,2025-06-22,Returned,14,3,0,7,73,19,Science,No,4,L402,Evening,Offline,4
I3003,S1013,B2154,2025-02-10,2025-02-24,2025-02-23,Returned,13,0,20,5,18,12,Mechanical,Yes,5,L403,Evening,Online,1
I3004,S1051,B2091,2025-10-18,2025-11-01,2025-10-30,Returned,11,3,20,5,59,8,Math,No,3,L404,Evening,Online,1
I3005,S1051,B2038,2025-03-22,2025-04-05,2025-04-10,Returned,24,1,10,1,91,7,Science,No,3,L405,Evening,Online,4
I3006,S1039,B2078,2025-08-13,2025-08-27,?,'Not Returned',30,1,20,8,76,5,Electronics,No,3,L406,Evening,Online,1
I3007,S1009,B2081,2025-01-23,2025-02-06,2025-02-09,Returned,9,3,30,3,31,3,Programming,No,5,L407,Morning,Offline,2
I3008,S1174,B2002,2025-12-17,2025-12-31,2026-01-02,Returned,20,0,20,8,45,19,Science,No,5,L408,Morning,Offline,1
I3009,S1033,B2147,2025-12-07,2025-12-21,?,'Not Returned',19,1,0,7,20,8,Mechanical,Yes,3,L409,Morning,Offline,2
I3010,S1117,B2090,2025-09-05,2025-09-19,?,'Not Returned',23,0,10,1,40,15,Mechanical,No,0,L410,Evening,Offline,4
I3011,S1034,B2095,2025-03-27,2025-04-10,2025-04-06,Returned,21,1,0,7,30,13,Electronics,Yes,1,L411,Morning,Offline,4
I3012,S1130,B2004,2025-09-08,2025-09-22,2025-09-26,Returned,7,0,10,5,95,16,Electronics,No,2,L412,Morning,Offline,2
I3013,S1056,B2036,2025-01-14,2025-01-28,2025-01-24,Returned,26,3,0,4,55,4,Science,Yes,4,L413,Evening,Offline,1
I3014,S1045,B2093,2025-11-29,2025-12-13,2025-12-12,Returned,26,0,30,6,60,9,Civil,No,0,L414,Morning,Online,4
I3015,S1046,B2011,2025-01-03,2025-01-17,?,'Not Returned',30,3,10,9,19,13,Math,No,4,L415,Evening,Online,4
I3016,S1053,B2005,2025-07-10,2025-07-24,2025-07-20,Returned,23,1,0,4,76,19,Science,Yes,2,L416,Morning,Online,4
I3017,S1123,B2114,2025-06-11,2025-06-25,?,'Not Returned',11,0,10,3,27,20,Math,No,5,L417,Morning,Offline,1
I3018,S1096,B2050,2025-08-27,2025-09-10,2025-09-08,Returned,25,2,10,1,34,4,Electronics,No,3,L418,Evening,Offline,4
I3019,S1006,B2084,2025-12-22,2026-01-05,2026-01-08,Returned,14,3,0,7,64,3,Mechanical,Yes,2,L419,Evening,Online,5
I3020,S1075,B2132,2025-02-19,2025-03-05,2025-03-07,Returned,25,0,0,2,97,16,Programming,No,3,L420,Evening,Offline,5
I3021,S1057,B2057,2025-10-07,2025-10-21,2025-10-21,Returned,13,2,20,7,67,6,Programming,Yes,3,L421,Evening,Online,1
I3022,S1045,B2050,2025-04-25,2025-05-09,2025-05-05,Returned,25,0,20,10,74,18,Math,Yes,4,L422,Evening,Offline,4
I3023,S1091,B2007,2025-03-18,2025-04-01,2025-04-05,Returned,19,0,10,7,14,6,Programming,No,0,L423,Morning,Offline,4
I3024,S1102,B2106,2025-08-30,2025-09-13,?,'Not Returned',10,1,10,1,59,18,Science,No,2,L424,Morning,Online,1
I3025,S1146,B2121,2025-06-08,2025-06-22,2025-06-23,Returned,16,0,30,10,76,17,Science,Yes,2,L425,Evening,Offline,4
I3026,S1096,B2044,2025-01-21,2025-02-04,2025-02-05,Returned,16,3,0,8,67,3,Science,Yes,3,L426,Morning,Offline,4
I3027,S1000,B2107,2025-02-06,2025-02-20,2025-02-23,Returned,25,3,30,9,72,18,Programming,Yes,2,L427,Evening,Offline,2
I3028,S1111,B2003,2025-12-17,2025-12-31,2026-01-05,Returned,19,1,0,9,84,4,Civil,No,4,L428,Evening,Offline,3
I3029,S1025,B2053,2025-08-29,2025-09-12,2025-09-13,Returned,29,0,20,1,97,1,Programming,No,1,L429,Morning,Online,1
I3030,S1140,B2078,2025-05-27,2025-06-10,2025-06-15,Returned,21,3,20,5,82,13,Science,Yes,1,L430,Evening,Online,5
I3031,S1126,B2094,2025-05-28,2025-06-11,2025-06-10,Returned,30,0,30,6,30,12,Science,Yes,0,L431,Evening,Offline,4
I3032,S1150,B2140,2025-03-14,2025-03-28,2025-03-24,Returned,27,1,0,7,47,20,Programming,No,4,L432,Evening,Offline,2
I3033,S1047,B2023,2025-07-05,2025-07-19,2025-07-23,Returned,11,0,30,3,65,6,Science,No,0,L433,Evening,Offline,3
I3034,S1071,B2036,2025-10-09,2025-10-23,2025-10-22,Returned,12,3,20,5,43,15,Math,No,1,L434,Evening,Online,5
I3035,S1051,B2048,2025-12-19,2026-01-02,?,'Not Returned',11,3,30,8,67,7,Civil,No,3,L435,Evening,Online,5
I3036,S1121,B2138,2025-10-18,2025-11-01,2025-10-31,Returned,8,2,10,4,51,11,Programming,Yes,5,L436,Morning,Online,4
I3037,S1017,B2006,2025-05-23,2025-06-06,?,'Not Returned',9,0,0,9,46,3,Civil,Yes,3,L437,Evening,Online,2
I3038,S1159,B2010,2025-12-02,2025-12-16,?,'Not Returned',13,1,0,7,11,18,Math,Yes,3,L438,Evening,Online,4
I3039,S1129,B2105,2025-04-26,2025-05-10,?,'Not Returned',9,3,20,2,26,15,Science,No,0,L439,Evening,Offline,1
I3040,S1079,B2012,2025-06-08,2025-06-22,2025-06-18,Returned,24,3,10,7,82,17,Mechanical,No,3,L440,Evening,Offline,3
I3041,S1167,B2121,2025-11-17,2025-12-01,2025-11-27,Returned,17,3,0,6,18,12,Mechanical,Yes,5,L441,Evening,Offline,2
I3042,S1118,B2022,2025-04-26,2025-05-10,2025-05-15,Returned,10,1,30,8,68,10,Electronics,No,3,L442,Morning,Offline,1
I3043,S1098,B2141,2025-07-17,2025-07-31,2025-07-30,Returned,10,2,20,9,39,18,Science,No,1,L443,Evening,Online,3
I3044,S1170,B2029,2025-11-19,2025-12-03,2025-11-30,Returned,11,2,20,1,97,2,Math,Yes,4,L444,Evening,Online,5
I3045,S1114,B2050,2025-08-14,2025-08-28,2025-08-27,Returned,29,3,10,10,43,7,Mechanical,Yes,4,L445,Morning,Online,1
I3046,S1111,B2027,2025-02-11,2025-02-25,2025-02-27,Returned,30,2,30,7,28,3,Mechanical,No,0,L446,Evening,Offline,1
I3047,S1019,B2059,2025-12-02,2025-12-16,2025-12-17,Returned,18,2,0,9,72,9,Electronics,No,5,L447,Morning,Offline,1
I3048,S1129,B2045,2025-07-17,2025-07-31,2025-08-05,Returned,28,0,20,7,10,4,Electronics,No,1,L448,Evening,Online,3
I3049,S1056,B2046,2025-10-09,2025-10-23,?,'Not Returned',9,2,30,5,23,10,Math,Yes,0,L449,Evening,Offline,3
I3050,S1022,B2037,2025-08-14,2025-08-28,2025-08-27,Returned,29,0,0,2,24,12,Science,Yes,4,L450,Evening,Online,2
I3051,S1016,B2053,2025-08-19,2025-09-02,2025-09-01,Returned,26,2,30,7,80,20,Science,No,3,L451,Morning,Offline,1
I3052,S1130,B2044,2025-05-27,2025-06-10,2025-06-06,Returned,21,1,20,8,96,2,Science,No,5,L452,Morning,Offline,2
I3053,S1080,B2035,2025-11-19,2025-12-03,2025-12-06,Returned,14,1,10,2,89,13,Math,Yes,0,L453,Evening,Offline,4
I3054,S1079,B2029,2025-05-12,2025-05-26,2025-05-31,Returned,27,1,10,7,40,10,Civil,Yes,4,L454,Evening,Offline,2
I3055,S1170,B2159,2025-01-10,2025-01-24,2025-01-20,Returned,29,3,20,8,70,9,Science,Yes,5,L455,Morning,Online,2
I3056,S1088,B2129,2025-12-20,2026-01-03,2026-01-02,Returned,20,2,10,5,67,15,Mechanical,No,5,L456,Morning,Offline,2
I3057,S1047,B2137,2025-08-07,2025-08-21,2025-08-18,Returned,12,0,0,2,39,10,Mechanical,Yes,1,L457,Morning,Online,3
I3058,S1044,B2148,2025-04-06,2025-04-20,2025-04-16,Returned,21,0,10,4,92,1,Math,No,0,L458,Evening,Offline,3
I3059,S1149,B2065,2025-07-29,2025-08-12,2025-08-09,Returned,7,3,10,5,35,1,Civil,Yes,0,L459,Morning,Online,3
I3060,S1035,B2018,2025-03-17,2025-03-31,2025-03-27,Returned,19,2,0,6,51,17,Civil,No,5,L460,Morning,Offline,1
I3061,S1155,B2079,2025-08-30,2025-09-13,2025-09-10,Returned,22,0,20,6,84,11,Electronics,No,0,L461,Evening,Online,5
I3062,S1068,B2131,2025-08-20,2025-09-03,2025-08-30,Returned,18,2,0,7,32,4,Math,Yes,1,L462,Morning,Online,4
I3063,S1082,B2098,2025-08-05,2025-08-19,2025-08-22,Returned,25,1,20,6,38,12,Electronics,No,3,L463,Morning,Offline,3
I3064,S1163,B2061,2025-12-18,2026-01-01,2026-01-02,Returned,13,1,0,3,14,13,Mechanical,Yes,4,L464,Evening,Offline,2
I3065,S1085,B2068,2025-07-19,2025-08-02,2025-08-07,Returned,8,2,0,5,16,1,Math,No,0,L465,Morning,Offline,5
I3066,S1003,B2118,2025-05-30,2025-06-13,2025-06-15,Returned,9,1,0,5,86,10,Math,Yes,2,L466,Evening,Online,4
I3067,S1151,B2042,2025-05-21,2025-06-04,2025-06-10,Returned,14,1,20,6,79,11,Mechanical,Yes,2,L467,Morning,Offline,5
I3068,S1116,B2050,2025-12-27,2026-01-10,?,'Not Returned',8,0,10,5,74,1,Mechanical,No,3,L468,Evening,Online,4
I3069,S1051,B2006,2025-03-29,2025-04-12,2025-04-11,Returned,11,2,20,5,37,5,Civil,Yes,5,L469,Morning,Offline,4
I3070,S1066,B2069,2025-07-24,2025-08-07,2025-08-03,Returned,24,0,20,5,43,14,Math,Yes,1,L470,Evening,Online,3
I3071,S1104,B2149,2025-02-10,2025-02-24,?,'Not Returned',28,3,20,5,95,17,Math,No,2,L471,Morning,Online,4
I3072,S1129,B2014,2025-03-15,2025-03-29,2025-03-31,Returned,19,3,30,5,88,17,Mechanical,Yes,5,L472,Morning,Offline,4
I3073,S1009,B2085,2025-10-07,2025-10-21,2025-10-23,Returned,24,1,30,2,30,3,Programming,No,1,L473,Morning,Online,2
I3074,S1159,B2117,2025-08-14,2025-08-28,2025-08-28,Returned,8,0,30,9,39,10,Civil,Yes,3,L474,Evening,Online,1
I3075,S1039,B2014,2025-01-27,2025-02-10,2025-02-06,Returned,14,0,10,2,28,2,Electronics,No,5,L475,Evening,Online,3
I3076,S1066,B2014,2025-06-23,2025-07-07,2025-07-10,Returned,10,1,10,2,56,17,Science,Yes,5,L476,Morning,Offline,5
I3077,S1163,B2014,2025-02-09,2025-02-23,?,'Not Returned',29,3,30,10,89,15,Electronics,Yes,1,L477,Evening,Offline,1
I3078,S1004,B2122,2025-10-07,2025-10-21,?,'Not Returned',9,0,30,5,46,3,Mechanical,Yes,2,L478,Morning,Offline,5
I3079,S1073,B2095,2025-09-16,2025-09-30,?,'Not Returned',21,1,30,9,12,11,Mechanical,Yes,5,L479,Morning,Online,2
I3080,S1162,B2102,2025-10-17,2025-10-31,2025-11-04,Returned,24,1,0,8,31,20,Electronics,Yes,3,L480,Evening,Offline,5
